"(yo) voy","je vais","nouvelobs conjugaison ir présent"
"(tú) vas","tu vas","nouvelobs conjugaison ir présent"
"(él) va","il va","nouvelobs conjugaison ir présent"
"(nosotros) vamos","nous allons","nouvelobs conjugaison ir présent"
"(vosotros) vais","vous allez","nouvelobs conjugaison ir présent"
"(ellos) van","ils vont","nouvelobs conjugaison ir présent"
"(yo) iré","j'irai","nouvelobs conjugaison ir futur simple"
"(tú) irás","tu iras","nouvelobs conjugaison ir futur simple"
"(él) irá","il ira","nouvelobs conjugaison ir futur simple"
"(nosotros) iremos","nous irons","nouvelobs conjugaison ir futur simple"
"(vosotros) iréis","vous irez","nouvelobs conjugaison ir futur simple"
"(ellos) irán","ils iront","nouvelobs conjugaison ir futur simple"
"(yo) iba","j'allais","nouvelobs conjugaison ir imparfait"
"(tú) ibas","tu allais","nouvelobs conjugaison ir imparfait"
"(él) iba","il allait","nouvelobs conjugaison ir imparfait"
"(nosotros) íbamos","nous allions","nouvelobs conjugaison ir imparfait"
"(vosotros) ibais","vous alliez","nouvelobs conjugaison ir imparfait"
"(ellos) iban","ils allaient","nouvelobs conjugaison ir imparfait"
"(yo) soy","je suis (ser)","nouvelobs conjugaison ser présent"
"(tú) eres","tu es (ser)","nouvelobs conjugaison ser présent"
"(él) es","il est (ser)","nouvelobs conjugaison ser présent"
"(nosotros) somos","nous sommes (ser)","nouvelobs conjugaison ser présent"
"(vosotros) sois","vous êtes (ser)","nouvelobs conjugaison ser présent"
"(ellos) son","ils sont (ser)","nouvelobs conjugaison ser présent"
"(yo) seré","je serai (ser)","nouvelobs conjugaison ser futur simple"
"(tú) serás","tu seras (ser)","nouvelobs conjugaison ser futur simple"
"(él) será","il sera (ser)","nouvelobs conjugaison ser futur simple"
"(nosotros) seremos","nous serons (ser)","nouvelobs conjugaison ser futur simple"
"(vosotros) seréis","vous serez (ser)","nouvelobs conjugaison ser futur simple"
"(ellos) serán","ils seront (ser)","nouvelobs conjugaison ser futur simple"
"(yo) era","j'étais (ser)","nouvelobs conjugaison ser imparfait"
"(tú) eras","tu étais (ser)","nouvelobs conjugaison ser imparfait"
"(él) era","il était (ser)","nouvelobs conjugaison ser imparfait"
"(nosotros) éramos","nous étions (ser)","nouvelobs conjugaison ser imparfait"
